,IDENTIFICATION,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
28,1355,2014-2015,66.5,S,,,FPSE,Sciences de l'Éducation,G3
29,1376,2013-2014,61.0999984741,ADM,61.0999984741,S,FT,Tronc commun,L2
30,1497,2014-2015,,AA,,A,FSTA,Génie Civil,G3
31,1497,2015-2016,,AA,61.0999984741,S,FSTA,Génie Civil,Tech1
32,1517,2013-2014,,A,,A,FSTA,Génie Civil,Tech2
33,1557,2013-2014,,AA,,,FPSE,Sciences de l'Éducation,L2
34,1670,2014-2015,65.0999984741,S,,,FM,Bio-Méd,G1
35,1670,2015-2016,57.0999984741,A,59.2000007629,S,FM,Bio-Méd,G2
36,1752,2012-2013,65.8000030518,S,,,FD,Droit Économique et Social,L1
37,1752,2013-2014,63.7999992371,S,,,FD,Droit Économique et Social,L2
38,1846,2013-2014,52.5999984741,A,62.7000007629,S,FPSE,Psychologie / Psychologie clinique,L2
39,1847,2012-2013,60.5999984741,S,,,FSDC,Santé Communautaire,L2
40,1848,2014-2015,64.1999969482,S,,,FSDC,Gestion et Administration des Projets de Santé,L1
41,1848,2015-2016,,ADM,68.1999969482,S,FSDC,Gestion et Administration des Projets de Santé,L2
42,1858,2012-2013,66.5,S,,,FSDC,Santé et Développement Communautaires,L1
43,1858,2013-2014,,ADM,65.9000015259,S,FSDC,Santé et Développement Communautaires,L2
